"MOVIEID","IMDBID","TITLE","GENRES","TITLETYPE","STARTYEAR","RELEASE_DATE_TXT","RUNTIME","PRODUCTION_COMPANIES","POPULARITY","ORIGINAL_LANGUAGE","RUNTIMEMINUTES","DIRECTOR_NAME","DIRECTOR_GENDER","ACTOR1_NAME","ACTOR1_GENDER","ACTOR2_NAME","ACTOR2_GENDER","AVERAGERATING","NUMVOTES","BUDGET","REVENUE","VOTE_COUNT","VOTE_AVERAGE","ML_RCOUNT","ML_RATING"
1929,"0022958","Grand Hotel","Drama|Romance","movie",1932,"11/04/1932",112,"Metro-Goldwyn-Mayer (MGM)",1.474567,"en","112","Edmund Goulding",0,"Greta Garbo",1,"John Barrymore",0,7.4,16489,700000,2594000,63,6.5,736,3.70720108695652173913043478260869565217
1932,"0027698","The Great Ziegfeld","Drama|Musical","movie",1936,"08/04/1936",176,"Metro-Goldwyn-Mayer (MGM)",0.215859,"en","176","Robert Z. Leonard",0,"William Powell",2,"Myrna Loy",1,6.7,6834,0,0,17,6.1,275,3.31090909090909090909090909090909090909
49280,"0308055","Bobby","Drama","movie",2006,"05/09/2006",120,"The Weinstein Company",1.955237,"en","117","Emilio Estevez",2,"Anthony Hopkins",2,"Heather Graham",1,7,40530,0,0,110,6.4,479,3.38726513569937369519832985386221294363
8530,"0377752","Dear Frankie","Drama|Romance","movie",2004,"18/05/2004",105,"Scottish Screen",0.468273,"en","105","Shona Auerbach",0,"Gerard Butler",2,"Emily Mortimer",1,7.7,20691,0,0,40,7,907,3.88919514884233737596471885336273428886
6470,"0065547","Chisum","Western","movie",1970,"23/07/1970",111,"Batjac Productions",0.965538,"en","111","Andrew V. McLaglen",2,"John Wayne",2,"Forrest Tucker",0,6.9,8580,6000000,0,41,6.8,151,3.27814569536423841059602649006622516556
5381,"0062790","The Charge of the Light Brigade","Drama|War","movie",1968,"10/04/1968",139,"Woodfall Film Productions",0.208175,"en","139","Tony Richardson",2,"Trevor Howard",2,"Vanessa Redgrave",1,6.7,2909,0,0,13,6.2,89,3.51685393258426966292134831460674157303
5538,"0088885","The Care Bears Movie","Animation|Children|Fantasy","movie",1985,"23/03/1985",77,"Nelvana",0.434986,"en","77","Arna Selznick",0,"Mickey Rooney",0,"Jackie Burroughs",1,5.7,5032,0,0,27,5.4,374,2.41042780748663101604278074866310160428
7259,"0365957","You Got Served","Drama|Musical","movie",2004,"30/01/2004",95,"none",0.346199,"en","95","Chris Stokes",0,"Marques Houston",2,"Omarion",2,3.8,25513,0,0,68,4.7,306,2.2581699346405228758169934640522875817
6798,"0074256","Bugsy Malone","Children|Comedy|Crime|Musical","movie",1976,"26/06/1976",93,"The Rank Organisation",0.611462,"en","93","Alan Parker",2,"Scott Baio",2,"Jodie Foster",1,6.9,15310,0,0,66,6.6,310,3.26290322580645161290322580645161290323
8820,"0061015","Spinout","Comedy|Musical","movie",1966,"14/12/1966",90,"Euterpe",0.615922,"en","90","Norman Taurog",2,"Elvis Presley",2,"Shelley Fabares",1,5.9,1627,0,0,7,4.5,31,2.72580645161290322580645161290322580645
1168,"0115610","Bad Moon","Action|Adventure|Horror","movie",1996,"01/11/1996",80,"Morgan Creek Productions",0.462506,"en","80","Eric Red",2,"Mariel Hemingway",1,"Michael Paré",2,5.9,5525,7000000,1100000,31,5.8,199,2.53517587939698492462311557788944723618
935,"0045537","The Band Wagon","Comedy|Musical","movie",1953,"07/08/1953",112,"Metro-Goldwyn-Mayer (MGM)",0.709353,"en","112","Vincente Minnelli",2,"Fred Astaire",2,"Cyd Charisse",1,7.5,9533,0,0,42,7,607,3.73805601317957166392092257001647446458
81791,"1421051","Somewhere","Drama","movie",2010,"03/09/2010",98,"American Zoetrope",0.972891,"en","97","Sofia Coppola",1,"Stephen Dorff",2,"Chris Pontius",2,6.3,41386,8000000,0,199,6,443,3.26297968397291196388261851015801354402
80350,"1666186","Vampires Suck","Comedy","movie",2010,"18/08/2010",82,"Regency Enterprises",1.586014,"en","82","Jason Friedberg",2,"Chris Riggi",2,"Matt Lanter",2,3.4,45402,20000000,80547866,271,4.3,349,1.82951289398280802292263610315186246418
831,"0114550","Stonewall","Drama","movie",1995,"01/10/1995",99,"Killer Films",0.246602,"en","99","Nigel Finch",0,"Guillermo Díaz",2,"Frederick Weller",2,6.9,1490,0,0,8,6.8,208,3.49278846153846153846153846153846153846
1139,"0116245","Everything Relative","Drama","movie",1996,"13/09/1996",110,"Big Sister Production",0.000335,"en","110","Sharon Pollack",0,"none",0,"Monica Bell",0,5.9,182,0,0,1,4,24,3.10416666666666666666666666666666666667
8227,"0031252","Drums Along the Mohawk","Adventure|War|Western","movie",1939,"03/11/1939",104,"Twentieth Century Fox Film Corporation",0.982589,"en","104","John Ford",0,"Claudette Colbert",1,"Henry Fonda",2,7.1,5378,0,0,21,6.4,90,3.25555555555555555555555555555555555556
64410,"0030150","Four Men and a Prayer","Adventure|Mystery","movie",1938,"29/04/1938",85,"Twentieth Century Fox Film Corporation",0.027632,"en","85","John Ford",0,"Loretta Young",1,"Richard Greene",2,6.1,629,0,0,3,6,4,3.125
7616,"0086984","Body Double","Mystery|Thriller","movie",1984,"26/10/1984",114,"Columbia Pictures Corporation",1.835479,"en","114","Brian De Palma",2,"Craig Wasson",2,"Melanie Griffith",1,6.8,27058,10000000,8801940,131,6.4,409,3.35696821515892420537897310513447432763
82311,"0026452","Hands Across the Table","Comedy|Romance","movie",1935,"18/10/1935",80,"Paramount Pictures",0.133588,"en","80","Mitchell Leisen",2,"Carole Lombard",1,"Fred MacMurray",2,7,1431,0,0,3,5,12,3.54166666666666666666666666666666666667
26302,"0070643","Scarecrow","Drama","movie",1973,"11/04/1973",112,"Warner Bros.",1.647786,"en","112","Jerry Schatzberg",2,"Gene Hackman",2,"Al Pacino",2,7.3,14623,0,0,54,6.8,183,3.65846994535519125683060109289617486339
6227,"0050659","Loving You","Drama|Musical","movie",1957,"09/07/1957",101,"Paramount Pictures",0.184604,"en","101","Hal Kanter",0,"Elvis Presley",2,"Lizabeth Scott",1,6.5,1790,0,0,11,4.5,21,3.04761904761904761904761904761904761905
8709,"0097530","How I Got Into College","Comedy|Romance","movie",1989,"19/05/1989",86,"none",0.334474,"en","86","Savage Steve Holland",2,"Anthony Edwards",2,"Corey Parker",2,5.8,2027,0,0,10,5.6,72,2.97222222222222222222222222222222222222
26686,"0099654","Ghost Dad","Comedy|Fantasy","movie",1990,"29/06/1990",84,"Universal Pictures",0.345012,"en","83","Sidney Poitier",2,"Bill Cosby",2,"Kimberly Russell",1,4.4,7236,0,24707633,46,4.5,260,2.24807692307692307692307692307692307692
2653,"0036376","Son of Dracula","Horror","movie",1943,"05/10/1943",80,"Universal Pictures",0.93134,"en","80","Robert Siodmak",0,"Lon Chaney Jr.",2,"Louise Allbritton",1,6.1,4295,0,0,13,7.2,224,2.76339285714285714285714285714285714286
4197,"0079781","Real Life","Comedy","movie",1979,"02/03/1979",99,"Paramount Pictures",0.962339,"en","99","Albert Brooks",2,"Albert Brooks",2,"Charles Grodin",2,7,2448,0,0,12,6,182,3.66483516483516483516483516483516483516
8402,"0099166","Book of Love","Comedy|Romance","movie",1990,"03/08/1990",82,"none",0.162905,"en","82","Robert Shaye",2,"Michael McKean",2,"Chris Young",2,6.2,996,0,0,8,5.4,37,2.87837837837837837837837837837837837838
6017,"0274428","Divine Intervention","Comedy|Drama|Romance|War","movie",2002,"01/01/2002",92,"none",0.366039,"en","92","Elia Suleiman",2,"Elia Suleiman",2,"Manal Khader",0,6.6,3257,0,0,9,5.6,82,3.16463414634146341463414634146341463415
170371,"0096149","Space Mutiny","Action|Adventure|Romance|Sci-Fi","movie",1988,"01/01/1988",93,"A.I.P. Productions",0.370433,"en","91","David Winters",2,"Reb Brown",2,"John Phillip Law",2,2.1,6417,0,0,18,2.3,21,1.52380952380952380952380952380952380952
108873,"0210843","Same Love, Same Rain","Comedy|Drama|Romance","movie",1999,"01/01/1999",100,"none",0.180305,"en","113","Juan José Campanella",2,"Ricardo Darín",2,"Soledad Villamil",1,7.3,3021,0,0,13,6.5,19,3.73684210526315789473684210526315789474
4038,"0097662","Kill Me Again","Crime|Drama|Thriller","movie",1989,"27/10/1989",94,"Propaganda Films",0.602643,"en","94","John Dahl",2,"Val Kilmer",2,"Joanne Whalley",1,6.3,4255,4000000,0,21,5.6,125,3.172
184903,"0342717","Joy Road","Crime|Drama","movie",2004,"21/10/2011",88,"Extra Film Productions MVP LLC",0.098835,"en","88","Harry A. Davis",0,"Roger Guenveur Smith",2,"N'Bushe Wright",1,6.2,173,0,0,0,0,2,5
86091,"0107719","The Nutcracker","Children|Fantasy|Musical","movie",1993,"24/11/1993",93,"Warner Bros. Family Entertainment",0.077668,"en","92","Emile Ardolino",2,"Darci Kistler",0,"Damian Woetzel",0,5.8,1689,19000000,2119994,5,5.6,19,2.86842105263157894736842105263157894737
25986,"0046766","The Belles of St. Trinian's","Comedy","movie",1954,"28/09/1954",91,"none",0.629244,"en","91","Frank Launder",2,"Alastair Sim",2,"Alastair Sim",2,6.8,2195,0,0,15,6.5,28,3.42857142857142857142857142857142857143
173151,"0072354","Vampyres","Horror|Thriller","movie",1974,"01/01/1974",87,"Lurco Films",0.325907,"en","87","José Ramón Larraz",0,"Marianne Morris",0,"Anulka Dziubinska",0,6.1,2909,0,0,16,4.4,6,2.83333333333333333333333333333333333333
86862,"0037849","Kitty","Drama","movie",1945,"16/10/1945",103,"Paramount Pictures",0.061166,"en","103","Mitchell Leisen",2,"Paulette Goddard",1,"Ray Milland",2,7.1,604,0,0,4,4.4,5,3.6
43039,"0059314","Inside Daisy Clover","Drama","movie",1965,"17/02/1966",128,"Warner Bros.",0.213909,"en","128","Robert Mulligan",2,"Natalie Wood",1,"Christopher Plummer",2,6.2,3024,4500000,0,14,4.9,13,2.57692307692307692307692307692307692308
78860,"0059729","The Slender Thread","Drama","movie",1965,"23/12/1965",98,"Stephen Alexander Productions",0.000315,"en","98","Sydney Pollack",2,"Sidney Poitier",2,"Anne Bancroft",1,7,1748,0,0,8,6.8,10,3.35
6074,"0083885","Endangered Species","Mystery|Sci-Fi|Thriller","movie",1982,"10/09/1982",97,"Metro-Goldwyn-Mayer (MGM)",0.088593,"en","97","Alan Rudolph",2,"Robert Urich",2,"JoBeth Williams",1,5.9,865,0,0,3,7.3,16,2.8125
5259,"0054988","Homicidal","Horror|Mystery|Thriller","movie",1961,"26/07/1961",87,"William Castle Productions",0.140718,"en","88","William Castle",2,"Glenn Corbett",2,"Patricia Breslin",1,6.8,2721,0,0,13,5.4,46,2.93478260869565217391304347826086956522
27626,"0319917","Planta 4ª","Comedy|Drama","movie",2003,"31/10/2003",100,"Boca Boca Producciones S.L",0.090145,"en","100","Antonio Mercero",0,"Gorka Moreno",0,"Luis Ángel Priego",0,7,1401,0,0,9,7.1,8,3.0625
5978,"0092206","The Whistle Blower","Thriller","movie",1986,"21/11/1986",100,"Portreeve",0.34199,"en","100","Simon Langton",2,"Michael Caine",2,"James Fox",2,6.2,1867,0,0,12,6.2,47,3.15957446808510638297872340425531914894
27306,"0230025","Bartleby","Comedy|Drama","movie",2001,"10/03/2001",85,"none",0.195231,"en","83","Jonathan Parker",2,"Crispin Glover",2,"David Paymer",2,6.4,1801,0,0,6,4.8,27,3.07407407407407407407407407407407407407
73978,"0039931","Unconquered","Adventure|Drama|Romance|Western","movie",1947,"24/09/1947",146,"Paramount Pictures",0.182533,"en","146","Cecil B. DeMille",2,"Gary Cooper",2,"Paulette Goddard",1,7,2002,0,0,7,5.1,16,3.53125
170369,"0339736","The Evil Within","Horror|Thriller","movie",2017,"13/06/2017",98,"Vision Films",0.783441,"en","98","Andrew Getty",2,"none",0,"Fred Koehler",2,5.5,2772,4000000,0,9,7.3,17,2.97058823529411764705882352941176470588
149560,"0027376","The Bohemian Girl","Comedy","movie",1936,"14/02/1936",71,"Metro-Goldwyn-Mayer (MGM)",0.183449,"en","71","Hal Roach",2,"Stan Laurel",2,"Oliver Hardy",2,6.8,1733,0,0,11,6.6,9,3.38888888888888888888888888888888888889
116347,"0116016","Danger Zone","(no genres listed)","movie",1996,"02/08/1996",92,"Nu Image Films",0.371781,"en","92","Allan Eastman",2,"none",0,"Billy Zane",2,4.5,726,0,0,7,3.9,3,2.33333333333333333333333333333333333333
185715,"5712152","Layla M.","Drama","movie",2016,"17/11/2016",98,"none",0.013128,"en","98","Mijke de Jong",0,"none",0,"Nora el Koussour",0,6.7,1250,0,0,4,6.7,7,3.21428571428571428571428571428571428571
25872,"0033766","It Started with Eve","Comedy|Musical|Romance","movie",1941,"26/09/1941",90,"Universal Pictures",0.509847,"en","90","Henry Koster",2,"Deanna Durbin",1,"Charles Laughton",0,7.6,1136,0,0,5,7.4,8,3.3125
151941,"0047119","An Inspector Calls","Crime|Drama|Mystery|Romance","movie",1954,"16/03/1954",80,"Watergate Films",0.88831,"en","80","Guy Hamilton",2,"Alastair Sim",2,"Jane Wenham",0,7.5,2973,0,0,19,6.4,14,3.39285714285714285714285714285714285714
90319,"1829648","At Sea","Documentary","movie",2007,"07/09/2007",60,"none",0.006659,"en","60","Peter B. Hutton",0,"none",0,"none",0,7.1,244,0,0,6,8,8,3.5625
7144,"0329094","Forget Baghdad: Jews and Arabs - The Iraqi Connection","Documentary","movie",2002,"01/01/2002",0,"none",0.000735,"en","112","none",1,"none",0,"none",0,7.7,73,0,0,0,0,6,3.08333333333333333333333333333333333333
131062,"0825279","20 Years After","Drama|Fantasy|Sci-Fi","movie",2008,"01/01/2008",95,"none",0.338882,"en","95","Jim Torres",0,"Azura Skye",1,"Joshua Leonard",2,3.2,1489,1000000,0,18,2.8,6,1.91666666666666666666666666666666666667
170753,"0068271","Beware! The Blob","Comedy|Horror|Sci-Fi","movie",1972,"21/06/1972",91,"Jack H. Harris Enterprises",0.085074,"en","91","Larry Hagman",2,"Robert Walker, Jr.",0,"none",0,4.1,1632,0,0,16,5,8,2.125
55757,"0079278","Chilly Scenes of Winter","Comedy|Drama|Romance","movie",1979,"19/10/1979",92,"United Artists",0.07957,"en","92","Joan Micklin Silver",1,"John Heard",2,"Mary Beth Hurt",1,7,833,0,0,1,10,11,3.27272727272727272727272727272727272727
56602,"0036641","Between Two Worlds","Action|Adventure|Drama|Fantasy|Mystery","movie",1944,"20/05/1944",112,"Warner Bros.",0.314934,"en","112","Edward A. Blatt",0,"John Garfield",2,"Paul Henreid",2,7.2,1648,0,0,8,7.2,14,3.60714285714285714285714285714285714286
79232,"0092772","Comrades","Drama","movie",1986,"23/08/1987",183,"Skreba Films",0.040891,"en","183","Bill Douglas",0,"Keith Allen",2,"Phil Davis",2,7.3,639,0,0,4,7,5,3.6
138916,"0108339","Ticks","Horror|Sci-Fi","movie",1993,"12/10/1993",85,"none",1.777234,"en","85","Tony Randel",2,"Ami Dolenz",1,"Seth Green",2,5.4,3744,2000000,0,32,5.2,11,2.77272727272727272727272727272727272727
122791,"0074441","The Duchess and the Dirtwater Fox","Comedy|Western","movie",1976,"01/04/1976",103,"Twentieth Century Fox Film Corporation",0.493964,"en","103","Melvin Frank",2,"George Segal",2,"Goldie Hawn",1,5.7,1579,0,0,11,5.8,5,3.5
104000,"0101343","And You Thought Your Parents Were Weird!","Children|Comedy|Sci-Fi","movie",1991,"15/11/1991",92,"Panorama",0.000091,"en","92","Tony Cookson",0,"Marcia Strassman",1,"Joshua John Miller",2,4.6,471,0,402539,3,6,3,2
133429,"0074570","Get Mean","Western","movie",1975,"01/05/1976",84,"Cee Note",0.023801,"en","90","Ferdinando Baldi",2,"Tony Anthony",2,"Diana Lorys",0,5.3,252,0,0,1,7,4,2.625
190465,"0022418","The Speckled Band","Crime|Drama|Mystery|Romance","movie",1931,"05/03/1931",0,"none",0.000145,"en","90","Jack Raymond",0,"Raymond Massey",2,"Angela Baddeley",0,5.5,209,0,0,2,5.3,3,2
127280,"0113249","Innocent Lies","Drama|Mystery|Thriller","movie",1995,"30/06/1995",88,"Cinéa",0.245955,"en","88","Patrick Dewolf",0,"none",0,"Gabrielle Anwar",1,4.6,770,0,0,2,4.3,2,2.25
175461,"0217168","Tomorrow's Another Day","Comedy","movie",2000,"15/11/2000",89,"none",0.048172,"en","89","Jeanne Labrune",0,"Nathalie Baye",1,"Isabelle Carré",1,5.9,432,0,0,4,5.5,2,3
124164,"0048822","You're Never Too Young","Comedy","movie",1955,"25/08/1955",102,"none",0.127278,"en","102","Norman Taurog",2,"Dean Martin",2,"Jerry Lewis",2,6.6,1280,0,0,5,6.5,4,3.375
122462,"0057227","Kissin' Cousins","Comedy|Romance","movie",1964,"06/03/1964",96,"Four-Leaf Productions",0.185806,"en","96","Gene Nelson",2,"Elvis Presley",2,"Arthur O'Connell",2,5.4,1869,0,0,7,4.8,6,2.66666666666666666666666666666666666667
125117,"0059298","I'll Take Sweden","Comedy|Romance","movie",1965,"18/06/1965",97,"Edward Small Productions",0.19625,"en","97","Frederick de Cordova",0,"Bob Hope",2,"Tuesday Weld",1,5.3,712,0,0,4,5.5,2,3
104954,"0087513","Joy of Sex","Comedy|Romance","movie",1984,"03/08/1984",93,"Paramount Pictures",0.134879,"en","93","Martha Coolidge",1,"Michelle Meyrink",1,"Cameron Dye",2,3.7,632,0,0,3,2.7,4,1.625
172987,"0070289","The Final Programme","Comedy|Sci-Fi|Thriller","movie",1973,"01/01/1973",89,"none",0.146373,"en","81","Robert Fuest",2,"Jon Finch",2,"Jenny Runacre",1,5.5,768,0,0,5,4.5,1,2
177859,"0010598","The President","(no genres listed)","movie",1919,"01/02/1919",75,"none",0.000641,"en","75","Carl Th. Dreyer",2,"Richard Christensen",2,"Christian Engelstoft",0,6.6,760,0,0,2,6,2,3
106046,"0083900","The Escape Artist","Crime|Drama","movie",1982,"04/05/1982",94,"Zoetrope Studios",0.048168,"en","94","Caleb Deschanel",2,"Griffin O'Neal",2,"Raúl Juliá",2,6.2,601,0,0,6,5.3,5,2.5
79247,"0053344","Terror Is a Man","Horror|Sci-Fi","movie",1959,"01/11/1959",89,"Lynn-Romero Productions",0.002276,"en","90","Gerardo de Leon",0,"Francis Lederer",2,"Greta Thyssen",1,5.5,647,0,0,4,3.5,5,3
130584,"2133333","The Color of Time","Drama|Romance","movie",2012,"16/11/2012",72,"RabbitBandini Productions",1.28495,"en","73","Edna Luise Biesold",0,"James Franco",2,"Mila Kunis",1,4.3,1246,0,0,7,4.3,6,1.25
151649,"0101479","Blood in the Face","Documentary","movie",1991,"27/02/1991",78,"none",0.002025,"en","78","Kevin Rafferty",2,"none",0,"none",0,7.1,347,0,0,1,5,4,3.5
178857,"0083031","Satan's Mistress","Horror","movie",1982,"01/06/1982",98,"Diversified Film Ventures Ltd.",0.124581,"en","98","James Polakof",0,"Britt Ekland",1,"Lana Wood",1,3.3,362,0,0,1,5,1,2.5
124971,"0045232","This Woman Is Dangerous","Crime|Drama","movie",1952,"09/02/1952",100,"Warner Bros.",0.013049,"en","100","Felix Feist",0,"Joan Crawford",1,"Dennis Morgan",2,5.9,685,0,0,5,5.4,5,2
116134,"0035749","Coney Island","Comedy|Musical","movie",1943,"18/06/1943",96,"Twentieth Century Fox Film Corporation",0.000323,"en","96","Walter Lang",2,"Betty Grable",1,"George Montgomery",2,6.4,370,0,0,0,0,2,3
6340,"0308672","Only the Strong Survive","Documentary|Musical","movie",2002,"14/01/2002",95,"none",0.000318,"en","95","D.A. Pennebaker",2,"Rufus Thomas",2,"Carla Thomas",1,6.7,242,0,0,1,7,9,2.05555555555555555555555555555555555556
198599,"0108341","Time Indefinite","Documentary","movie",1993,"12/05/1993",114,"Zweites Deutsches Fernsehen (ZDF)",0.000012,"en","114","Ross McElwee",0,"none",0,"Steve Ascher",0,7.6,339,0,0,3,7.7,3,4.16666666666666666666666666666666666667
120516,"0050097","Across the Bridge","Crime|Drama|Thriller","movie",1957,"20/08/1957",103,"The Rank Organisation",0.015782,"en","103","Ken Annakin",2,"Rod Steiger",2,"David Knight",2,7.1,614,0,0,4,5.3,4,2.625
159837,"0055374","Ring of Fire","Adventure|Crime|Drama","movie",1961,"14/06/1961",91,"Metro-Goldwyn-Mayer (MGM)",0.000772,"en","91","Andrew L. Stone",2,"David Janssen",2,"Joyce Taylor",0,6.2,443,0,0,4,6,1,0.5
190125,"0101497","The Boneyard","Horror","movie",1990,"12/06/1991",98,"Prism Entertainment",0.004211,"en","98","James Cummins",0,"Ed Nelson",2,"Deborah Rose",1,5.7,1038,0,0,5,6.8,4,3.25
116871,"0022236","Other Men's Women","Drama|Romance","movie",1931,"17/01/1931",71,"Warner Bros.",0.124752,"en","71","William A. Wellman",2,"Grant Withers",2,"Mary Astor",1,6.6,1044,0,0,4,4.8,4,3
145929,"0282658","Killer Tattoo","Action|Comedy","movie",2001,"05/04/2001",114,"none",0.001227,"en","114","Yuthlert Sippapak",2,"Suthep Po-ngam",0,"Somchai Kemglad",0,6.3,434,0,0,2,5,1,3.5
86657,"0080406","Babylon","Drama","movie",1980,"07/11/1980",95,"none",0.13945,"en","95","Franco Rosso",2,"Brinsley Forde",0,"Trevor Laird",0,7.3,812,0,0,3,8.7,6,3.75
91167,"1268224","An Inconvenient Tax","Documentary","movie",2011,"15/04/2011",78,"none",0.004344,"en","78","Christopher Marshall",0,"none",0,"none",0,6.9,107,0,0,1,7,4,3.75
32779,"0072206","Steppenwolf","Drama","movie",1974,"01/01/1974",107,"none",0.000021,"en","107","Fred Haines",0,"Max von Sydow",2,"Dominique Sanda",1,6.2,1011,0,0,5,4.4,5,2.8
160822,"0053214","The Remarkable Mr. Pennypacker","Comedy","movie",1959,"20/02/1959",87,"Twentieth Century Fox Film Corporation",0.070376,"en","87","Henry Levin",2,"Clifton Webb",1,"Dorothy McGuire",1,6.5,241,0,0,0,0,1,5
96799,"0276428","Puckoon","Comedy","movie",2002,"01/01/2002",82,"none",0.000453,"en","82","none",1,"Griff Rhys Jones",2,"none",0,5.8,343,0,0,0,0,1,5
155247,"0046097","The Island Monster","Crime|Thriller","movie",1954,"02/01/1954",87,"Romana Film",0.00025,"en","87","Roberto Bianchi Montero",2,"Boris Karloff",0,"Franca Marzi",1,2.7,318,0,0,3,3.3,2,3.25
125864,"0025704","Red Ensign","(no genres listed)","movie",1934,"17/06/1934",69,"Gainsborough Pictures",0.071599,"en","69","Michael Powell",2,"Leslie Banks",2,"Carol Goodner",1,5.9,203,0,0,0,0,2,2.5
206242,"0079617","The Truth on the Savolta Affair","(no genres listed)","movie",1980,"01/02/1980",120,"none",0.031981,"en","120","Antonio Drove",0,"José Luis López Vázquez",2,"Charles Denner",2,6.5,150,0,0,3,5.3,1,3
194432,"0209936","Below the Sahara","Documentary","movie",1953,"29/05/1953",65,"RKO Pathé Pictures",0.000531,"en","65","Armand Denis",2,"none",0,"Armand Denis",2,7.1,57,0,0,0,0,1,3.5
148252,"0065602","Angel, Angel, Down We Go","Crime|Drama","movie",1969,"19/08/1969",93,"Four Leaf Productions",0.00069,"en","93","Robert Thom",2,"Jennifer Jones",1,"Jordan Christopher",0,4.5,334,0,0,0,0,1,2
162198,"0053349","That Kind of Woman","Comedy|Drama|Romance","movie",1959,"11/09/1959",92,"Paramount Pictures",0.199694,"en","92","Sidney Lumet",0,"Sophia Loren",1,"Tab Hunter",2,6.3,526,0,0,1,6,1,3
161630,"0103984","Color Adjustment","(no genres listed)","movie",1992,"29/01/1992",86,"none",0.000035,"en","86","Marlon Riggs",0,"none",0,"none",0,7,129,0,0,0,0,3,3.33333333333333333333333333333333333333
163178,"0053362","Timbuktu","War","movie",1959,"27/11/1958",91,"United Artists",0.225192,"en","91","Jacques Tourneur",0,"Victor Mature",2,"Yvonne De Carlo",1,5.7,291,0,0,0,0,1,2.5
165725,"0029365","Over the Moon","Comedy","movie",1939,"12/10/1939",85,"London Film Productions",0.075747,"en","85","Thornton Freeland",2,"Merle Oberon",1,"Rex Harrison",0,5.6,230,0,0,2,5.8,1,2.5
