"","TITLE","STARTYEAR","RELEASE_DATE_TXT","RUNTIME","PRODUCTION_COMPANIES","POPULARITY","DIRECTOR_NAME","DIRECTOR_GENDER","ACTOR1_NAME","ACTOR1_GENDER","ACTOR2_NAME","ACTOR2_GENDER","AVERAGERATING","NUMVOTES","BUDGET","REVENUE","VOTE_COUNT","VOTE_AVERAGE","ML_RCOUNT","ML_RATING","REVENUElog","drama","romance","thriller","comedy","sci-fi","adventure","animation","children","imax","musical","action","mystery","crime","war","western","fantasy","horror","documentary","film-noir","NO_GENRE"
"11","Chronicle",2012,"01/02/2012",84,"Twentieth Century Fox Film Corporation",4.620089,"Josh Trank",2,"Dane DeHaan",2,"Alex Russell",2,7,234717,16.5235608257331,145000000,1798,6.6,2652,3.58427601809955,18.7922443072814,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12","A Far Off Place",1993,"12/03/1993",100,"Amblin Entertainment",0.70649,"Mikael Salomon",2,"Reese Witherspoon",1,"Ethan Embry",2,6.6,3230,0,12890752,12,6.2,374,3.38368983957219,16.372020790587,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13","Grand Hotel",1932,"11/04/1932",112,"Metro-Goldwyn-Mayer (MGM)",1.474567,"Edmund Goulding",0,"Greta Garbo",1,"John Barrymore",0,7.4,16489,13.458837042596,2594000,63,6.5,736,3.70720108695652,14.7687120293635,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","The Great Ziegfeld",1936,"08/04/1936",176,"Metro-Goldwyn-Mayer (MGM)",0.215859,"Robert Z. Leonard",0,"William Powell",2,"Myrna Loy",1,6.7,6834,0,0,17,6.1,275,3.31090909090909,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15","Bobby",2006,"05/09/2006",120,"The Weinstein Company",1.955237,"Emilio Estevez",2,"Anthony Hopkins",2,"Heather Graham",1,7,40530,0,0,110,6.4,479,3.38726513569937,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Dear Frankie",2004,"18/05/2004",105,"Scottish Screen",0.468273,"Shona Auerbach",0,"Gerard Butler",2,"Emily Mortimer",1,7.7,20691,0,0,40,7,907,3.88919514884234,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Chisum",1970,"23/07/1970",111,"Batjac Productions",0.965538,"Andrew V. McLaglen",2,"John Wayne",2,"Forrest Tucker",0,6.9,8580,15.607270193859,0,41,6.8,151,3.27814569536424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"18","The Charge of the Light Brigade",1968,"10/04/1968",139,"Woodfall Film Productions",0.208175,"Tony Richardson",2,"Trevor Howard",2,"Vanessa Redgrave",1,6.7,2909,0,0,13,6.2,89,3.51685393258427,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"19","The Care Bears Movie",1985,"23/03/1985",77,"Nelvana",0.434986,"Arna Selznick",0,"Mickey Rooney",0,"Jackie Burroughs",1,5.7,5032,0,0,27,5.4,374,2.41042780748663,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"20","You Got Served",2004,"30/01/2004",95,"none",0.346199,"Chris Stokes",0,"Marques Houston",2,"Omarion",2,3.8,25513,0,0,68,4.7,306,2.25816993464052,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21","Bugsy Malone",1976,"26/06/1976",93,"The Rank Organisation",0.611462,"Alan Parker",2,"Scott Baio",2,"Jodie Foster",1,6.9,15310,0,0,66,6.6,310,3.26290322580645,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"22","Spinout",1966,"14/12/1966",90,"Euterpe",0.615922,"Norman Taurog",2,"Elvis Presley",2,"Shelley Fabares",1,5.9,1627,0,0,7,4.5,31,2.7258064516129,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23","Bad Moon",1996,"01/11/1996",80,"Morgan Creek Productions",0.462506,"Eric Red",2,"Mariel Hemingway",1,"Michael Paré",2,5.9,5525,15.7614208498767,1100000,31,5.8,199,2.53517587939698,13.9108216468591,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"24","The Band Wagon",1953,"07/08/1953",112,"Metro-Goldwyn-Mayer (MGM)",0.709353,"Vincente Minnelli",2,"Fred Astaire",2,"Cyd Charisse",1,7.5,9533,0,0,42,7,607,3.73805601317957,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"25","Somewhere",2010,"03/09/2010",98,"American Zoetrope",0.972891,"Sofia Coppola",1,"Stephen Dorff",2,"Chris Pontius",2,6.3,41386,15.8949522246441,0,199,6,443,3.26297968397291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Vampires Suck",2010,"18/08/2010",82,"Regency Enterprises",1.586014,"Jason Friedberg",2,"Chris Riggi",2,"Matt Lanter",2,3.4,45402,16.8112428815183,80547866,271,4.3,349,1.82951289398281,18.2043621867897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Stonewall",1995,"01/10/1995",99,"Killer Films",0.246602,"Nigel Finch",0,"Guillermo Díaz",2,"Frederick Weller",2,6.9,1490,0,0,8,6.8,208,3.49278846153846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Everything Relative",1996,"13/09/1996",110,"Big Sister Production",0.000335,"Sharon Pollack",0,"none",0,"Monica Bell",0,5.9,182,0,0,1,4,24,3.10416666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Drums Along the Mohawk",1939,"03/11/1939",104,"Twentieth Century Fox Film Corporation",0.982589,"John Ford",0,"Claudette Colbert",1,"Henry Fonda",2,7.1,5378,0,0,21,6.4,90,3.25555555555556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"30","Four Men and a Prayer",1938,"29/04/1938",85,"Twentieth Century Fox Film Corporation",0.027632,"John Ford",0,"Loretta Young",1,"Richard Greene",2,6.1,629,0,0,3,6,4,3.125,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"31","Body Double",1984,"26/10/1984",114,"Columbia Pictures Corporation",1.835479,"Brian De Palma",2,"Craig Wasson",2,"Melanie Griffith",1,6.8,27058,16.1180957509583,8801940,131,6.4,409,3.35696821515892,15.9904828233087,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"32","Hands Across the Table",1935,"18/10/1935",80,"Paramount Pictures",0.133588,"Mitchell Leisen",2,"Carole Lombard",1,"Fred MacMurray",2,7,1431,0,0,3,5,12,3.54166666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Scarecrow",1973,"11/04/1973",112,"Warner Bros.",1.647786,"Jerry Schatzberg",2,"Gene Hackman",2,"Al Pacino",2,7.3,14623,0,0,54,6.8,183,3.65846994535519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Loving You",1957,"09/07/1957",101,"Paramount Pictures",0.184604,"Hal Kanter",0,"Elvis Presley",2,"Lizabeth Scott",1,6.5,1790,0,0,11,4.5,21,3.04761904761905,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"35","How I Got Into College",1989,"19/05/1989",86,"none",0.334474,"Savage Steve Holland",2,"Anthony Edwards",2,"Corey Parker",2,5.8,2027,0,0,10,5.6,72,2.97222222222222,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Ghost Dad",1990,"29/06/1990",84,"Universal Pictures",0.345012,"Sidney Poitier",2,"Bill Cosby",2,"Kimberly Russell",1,4.4,7236,0,24707633,46,4.5,260,2.24807692307692,17.0226228226722,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"37","Son of Dracula",1943,"05/10/1943",80,"Universal Pictures",0.93134,"Robert Siodmak",0,"Lon Chaney Jr.",2,"Louise Allbritton",1,6.1,4295,0,0,13,7.2,224,2.76339285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"38","Real Life",1979,"02/03/1979",99,"Paramount Pictures",0.962339,"Albert Brooks",2,"Albert Brooks",2,"Charles Grodin",2,7,2448,0,0,12,6,182,3.66483516483516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Book of Love",1990,"03/08/1990",82,"none",0.162905,"Robert Shaye",2,"Michael McKean",2,"Chris Young",2,6.2,996,0,0,8,5.4,37,2.87837837837838,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Divine Intervention",2002,"01/01/2002",92,"none",0.366039,"Elia Suleiman",2,"Elia Suleiman",2,"Manal Khader",0,6.6,3257,0,0,9,5.6,82,3.16463414634146,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"41","Space Mutiny",1988,"01/01/1988",93,"A.I.P. Productions",0.370433,"David Winters",2,"Reb Brown",2,"John Phillip Law",2,2.1,6417,0,0,18,2.3,21,1.52380952380952,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"42","Same Love, Same Rain",1999,"01/01/1999",100,"none",0.180305,"Juan José Campanella",2,"Ricardo Darín",2,"Soledad Villamil",1,7.3,3021,0,0,13,6.5,19,3.73684210526316,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Kill Me Again",1989,"27/10/1989",94,"Propaganda Films",0.602643,"John Dahl",2,"Val Kilmer",2,"Joanne Whalley",1,6.3,4255,15.2018051690841,0,21,5.6,125,3.172,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"44","Joy Road",2004,"21/10/2011",88,"Extra Film Productions MVP LLC",0.098835,"Harry A. Davis",0,"Roger Guenveur Smith",2,"N'Bushe Wright",1,6.2,173,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"45","The Nutcracker",1993,"24/11/1993",93,"Warner Bros. Family Entertainment",0.077668,"Emile Ardolino",2,"Darci Kistler",0,"Damian Woetzel",0,5.8,1689,16.7599495897623,2119994,5,5.6,19,2.86842105263158,14.5669242881548,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"46","The Belles of St. Trinian's",1954,"28/09/1954",91,"none",0.629244,"Frank Launder",2,"Alastair Sim",2,"Alastair Sim",2,6.8,2195,0,0,15,6.5,28,3.42857142857143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Vampyres",1974,"01/01/1974",87,"Lurco Films",0.325907,"José Ramón Larraz",0,"Marianne Morris",0,"Anulka Dziubinska",0,6.1,2909,0,0,16,4.4,6,2.83333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"48","Kitty",1945,"16/10/1945",103,"Paramount Pictures",0.061166,"Mitchell Leisen",2,"Paulette Goddard",1,"Ray Milland",2,7.1,604,0,0,4,4.4,5,3.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Inside Daisy Clover",1965,"17/02/1966",128,"Warner Bros.",0.213909,"Robert Mulligan",2,"Natalie Wood",1,"Christopher Plummer",2,6.2,3024,15.3195881769627,0,14,4.9,13,2.57692307692308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","The Slender Thread",1965,"23/12/1965",98,"Stephen Alexander Productions",0.000315,"Sydney Pollack",2,"Sidney Poitier",2,"Anne Bancroft",1,7,1748,0,0,8,6.8,10,3.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Endangered Species",1982,"10/09/1982",97,"Metro-Goldwyn-Mayer (MGM)",0.088593,"Alan Rudolph",2,"Robert Urich",2,"JoBeth Williams",1,5.9,865,0,0,3,7.3,16,2.8125,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"52","Homicidal",1961,"26/07/1961",87,"William Castle Productions",0.140718,"William Castle",2,"Glenn Corbett",2,"Patricia Breslin",1,6.8,2721,0,0,13,5.4,46,2.93478260869565,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"53","Planta 4ª",2003,"31/10/2003",100,"Boca Boca Producciones S.L",0.090145,"Antonio Mercero",0,"Gorka Moreno",0,"Luis Ángel Priego",0,7,1401,0,0,9,7.1,8,3.0625,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","The Whistle Blower",1986,"21/11/1986",100,"Portreeve",0.34199,"Simon Langton",2,"Michael Caine",2,"James Fox",2,6.2,1867,0,0,12,6.2,47,3.15957446808511,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Bartleby",2001,"10/03/2001",85,"none",0.195231,"Jonathan Parker",2,"Crispin Glover",2,"David Paymer",2,6.4,1801,0,0,6,4.8,27,3.07407407407407,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Unconquered",1947,"24/09/1947",146,"Paramount Pictures",0.182533,"Cecil B. DeMille",2,"Gary Cooper",2,"Paulette Goddard",1,7,2002,0,0,7,5.1,16,3.53125,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"57","The Evil Within",2017,"13/06/2017",98,"Vision Films",0.783441,"Andrew Getty",2,"none",0,"Fred Koehler",2,5.5,2772,15.2018051690841,0,9,7.3,17,2.97058823529412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"58","The Bohemian Girl",1936,"14/02/1936",71,"Metro-Goldwyn-Mayer (MGM)",0.183449,"Hal Roach",2,"Stan Laurel",2,"Oliver Hardy",2,6.8,1733,0,0,11,6.6,9,3.38888888888889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Danger Zone",1996,"02/08/1996",92,"Nu Image Films",0.371781,"Allan Eastman",2,"none",0,"Billy Zane",2,4.5,726,0,0,7,3.9,3,2.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60","Layla M.",2016,"17/11/2016",98,"none",0.013128,"Mijke de Jong",0,"none",0,"Nora el Koussour",0,6.7,1250,0,0,4,6.7,7,3.21428571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","It Started with Eve",1941,"26/09/1941",90,"Universal Pictures",0.509847,"Henry Koster",2,"Deanna Durbin",1,"Charles Laughton",0,7.6,1136,0,0,5,7.4,8,3.3125,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"62","An Inspector Calls",1954,"16/03/1954",80,"Watergate Films",0.88831,"Guy Hamilton",2,"Alastair Sim",2,"Jane Wenham",0,7.5,2973,0,0,19,6.4,14,3.39285714285714,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"63","At Sea",2007,"07/09/2007",60,"none",0.006659,"Peter B. Hutton",0,"none",0,"none",0,7.1,244,0,0,6,8,8,3.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"64","Forget Baghdad: Jews and Arabs - The Iraqi Connection",2002,"01/01/2002",0,"none",0.000735,"none",1,"none",0,"none",0,7.7,73,0,0,0,0,6,3.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"65","20 Years After",2008,"01/01/2008",95,"none",0.338882,"Jim Torres",0,"Azura Skye",1,"Joshua Leonard",2,3.2,1489,13.8155115579638,0,18,2.8,6,1.91666666666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"66","Beware! The Blob",1972,"21/06/1972",91,"Jack H. Harris Enterprises",0.085074,"Larry Hagman",2,"Robert Walker, Jr.",0,"none",0,4.1,1632,0,0,16,5,8,2.125,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"67","Chilly Scenes of Winter",1979,"19/10/1979",92,"United Artists",0.07957,"Joan Micklin Silver",1,"John Heard",2,"Mary Beth Hurt",1,7,833,0,0,1,10,11,3.27272727272727,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Between Two Worlds",1944,"20/05/1944",112,"Warner Bros.",0.314934,"Edward A. Blatt",0,"John Garfield",2,"Paul Henreid",2,7.2,1648,0,0,8,7.2,14,3.60714285714286,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"69","Comrades",1986,"23/08/1987",183,"Skreba Films",0.040891,"Bill Douglas",0,"Keith Allen",2,"Phil Davis",2,7.3,639,0,0,4,7,5,3.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Ticks",1993,"12/10/1993",85,"none",1.777234,"Tony Randel",2,"Ami Dolenz",1,"Seth Green",2,5.4,3744,14.5086582385241,0,32,5.2,11,2.77272727272727,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"71","The Duchess and the Dirtwater Fox",1976,"01/04/1976",103,"Twentieth Century Fox Film Corporation",0.493964,"Melvin Frank",2,"George Segal",2,"Goldie Hawn",1,5.7,1579,0,0,11,5.8,5,3.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"72","And You Thought Your Parents Were Weird!",1991,"15/11/1991",92,"Panorama",9.1e-05,"Tony Cookson",0,"Marcia Strassman",1,"Joshua John Miller",2,4.6,471,0,402539,3,6,3,2,12.905549749785,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"73","Get Mean",1975,"01/05/1976",84,"Cee Note",0.023801,"Ferdinando Baldi",2,"Tony Anthony",2,"Diana Lorys",0,5.3,252,0,0,1,7,4,2.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"74","The Speckled Band",1931,"05/03/1931",0,"none",0.000145,"Jack Raymond",0,"Raymond Massey",2,"Angela Baddeley",0,5.5,209,0,0,2,5.3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"75","Innocent Lies",1995,"30/06/1995",88,"Cinéa",0.245955,"Patrick Dewolf",0,"none",0,"Gabrielle Anwar",1,4.6,770,0,0,2,4.3,2,2.25,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"76","Tomorrow's Another Day",2000,"15/11/2000",89,"none",0.048172,"Jeanne Labrune",0,"Nathalie Baye",1,"Isabelle Carré",1,5.9,432,0,0,4,5.5,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","You're Never Too Young",1955,"25/08/1955",102,"none",0.127278,"Norman Taurog",2,"Dean Martin",2,"Jerry Lewis",2,6.6,1280,0,0,5,6.5,4,3.375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Kissin' Cousins",1964,"06/03/1964",96,"Four-Leaf Productions",0.185806,"Gene Nelson",2,"Elvis Presley",2,"Arthur O'Connell",2,5.4,1869,0,0,7,4.8,6,2.66666666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","I'll Take Sweden",1965,"18/06/1965",97,"Edward Small Productions",0.19625,"Frederick de Cordova",0,"Bob Hope",2,"Tuesday Weld",1,5.3,712,0,0,4,5.5,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Joy of Sex",1984,"03/08/1984",93,"Paramount Pictures",0.134879,"Martha Coolidge",1,"Michelle Meyrink",1,"Cameron Dye",2,3.7,632,0,0,3,2.7,4,1.625,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","The Final Programme",1973,"01/01/1973",89,"none",0.146373,"Robert Fuest",2,"Jon Finch",2,"Jenny Runacre",1,5.5,768,0,0,5,4.5,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","The President",1919,"01/02/1919",75,"none",0.000641,"Carl Th. Dreyer",2,"Richard Christensen",2,"Christian Engelstoft",0,6.6,760,0,0,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"83","The Escape Artist",1982,"04/05/1982",94,"Zoetrope Studios",0.048168,"Caleb Deschanel",2,"Griffin O'Neal",2,"Raúl Juliá",2,6.2,601,0,0,6,5.3,5,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"84","Terror Is a Man",1959,"01/11/1959",89,"Lynn-Romero Productions",0.002276,"Gerardo de Leon",0,"Francis Lederer",2,"Greta Thyssen",1,5.5,647,0,0,4,3.5,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"85","The Color of Time",2012,"16/11/2012",72,"RabbitBandini Productions",1.28495,"Edna Luise Biesold",0,"James Franco",2,"Mila Kunis",1,4.3,1246,0,0,7,4.3,6,1.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Blood in the Face",1991,"27/02/1991",78,"none",0.002025,"Kevin Rafferty",2,"none",0,"none",0,7.1,347,0,0,1,5,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"87","Satan's Mistress",1982,"01/06/1982",98,"Diversified Film Ventures Ltd.",0.124581,"James Polakof",0,"Britt Ekland",1,"Lana Wood",1,3.3,362,0,0,1,5,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"88","This Woman Is Dangerous",1952,"09/02/1952",100,"Warner Bros.",0.013049,"Felix Feist",0,"Joan Crawford",1,"Dennis Morgan",2,5.9,685,0,0,5,5.4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"89","Coney Island",1943,"18/06/1943",96,"Twentieth Century Fox Film Corporation",0.000323,"Walter Lang",2,"Betty Grable",1,"George Montgomery",2,6.4,370,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"90","Only the Strong Survive",2002,"14/01/2002",95,"none",0.000318,"D.A. Pennebaker",2,"Rufus Thomas",2,"Carla Thomas",1,6.7,242,0,0,1,7,9,2.05555555555556,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"91","Time Indefinite",1993,"12/05/1993",114,"Zweites Deutsches Fernsehen (ZDF)",1.2e-05,"Ross McElwee",0,"none",0,"Steve Ascher",0,7.6,339,0,0,3,7.7,3,4.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"92","Across the Bridge",1957,"20/08/1957",103,"The Rank Organisation",0.015782,"Ken Annakin",2,"Rod Steiger",2,"David Knight",2,7.1,614,0,0,4,5.3,4,2.625,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"93","Ring of Fire",1961,"14/06/1961",91,"Metro-Goldwyn-Mayer (MGM)",0.000772,"Andrew L. Stone",2,"David Janssen",2,"Joyce Taylor",0,6.2,443,0,0,4,6,1,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"94","The Boneyard",1990,"12/06/1991",98,"Prism Entertainment",0.004211,"James Cummins",0,"Ed Nelson",2,"Deborah Rose",1,5.7,1038,0,0,5,6.8,4,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
