MOVIEID,drama,romance,thriller,comedy,sci-fi,adventure,animation,children,imax,musical,action,mystery,crime,war,western,fantasy,horror,documentary,film-noir,no_genre
151649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124971,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116134,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
198599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120516,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159837,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116871,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145929,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96799,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155247,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148252,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162198,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71104,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105366,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112019,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102544,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150066,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
121318,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125425,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117708,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
541,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3317,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
4974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4941,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2266,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3710,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3613,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2659,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3492,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25996,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3586,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159163,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5698,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32383,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27735,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58287,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26309,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
86860,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8878,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65817,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110181,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6080,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84496,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181643,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6384,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4547,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164635,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26501,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102047,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161018,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
133055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71840,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30776,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122009,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133968,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116193,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121342,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121338,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192443,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87225,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
26202,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122795,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124939,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
32777,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25957,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125521,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
87966,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89408,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173297,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
75977,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
164171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124314,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
204992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
204714,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
203960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128962,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133567,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136088,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
152244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162040,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163793,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
190271,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121737,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
164955,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
198821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123824,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
115797,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141273,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1088,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
543,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6863,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7445,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
3421,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
534,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30793,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
3825,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6873,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4034,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49649,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3420,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4419,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6852,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
640,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3635,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4912,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4932,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5655,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6978,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5246,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
947,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5336,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44731,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4412,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7405,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
970,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3547,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7307,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5474,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
34326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142811,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4663,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7944,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47805,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108696,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3667,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
30977,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60649,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25878,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
74575,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121489,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163460,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59273,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88480,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80933,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86312,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8269,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
162832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31925,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124083,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178367,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47619,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145897,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
