"MOVIEID","DRAMA","ROMANCE","THRILLER","COMEDY","SCI_FI","ADVENTURE","ANIMATION","CHILDREN","IMAX","MUSICAL","ACTION","MYSTERY","CRIME","WAR","WESTERN","FANTASY","HORROR","DOCUMENTARY","FILM_NOIR","NO_GENRE"
1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1196,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1282,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
1291,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1304,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1387,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2087,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
2096,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2099,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2115,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2137,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2161,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2173,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2366,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2660,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2669,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2670,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2763,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2941,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3081,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
3153,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3213,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3339,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3368,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3476,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3479,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3604,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3679,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3702,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3959,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3964,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4188,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4294,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
4323,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4896,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5098,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5244,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5820,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5952,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5965,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6082,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6093,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
6160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6173,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6303,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6405,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6430,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6441,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6527,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6743,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6808,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
6896,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6967,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7070,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7302,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7309,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7757,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7836,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7850,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7979,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8015,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
8167,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8228,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8291,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27800,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
122900,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25797,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25840,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25866,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25937,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25951,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25961,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
26366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
26998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31193,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
31485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31934,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31950,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
32493,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33342,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33799,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
33933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34039,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34405,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42556,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
42677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45987,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
46347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52570,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
52784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52938,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53554,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
54196,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
54229,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
54354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
57480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63692,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65796,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
65986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66440,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67098,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
